en	sv	ar	de	az	fr	eu	nl	ru	be	it	bg	es	ca	pl	vi	hr	ja	cs	da	pt	uk	eo	fa	et	sr	fi	no	id	gl	ko	ka	hu	el	ro	hi	tr	ms	sk	la	lv	lt	mk	sl	ur	th	ta	cy	af	sq	bn	tl	te	ht	sw	ga	is	gu	kn	yi
I have to go to the bathroom	jag måste gå till badrummet	علي ان اذهب الى الحمام	ich muss ins Badezimmer gehen	hamama getməliyəm	je dois aller à la salle de bain	Komunera joan behar dut	ik moet naar de wc	я должен идти в ванную	Я павінен пайсці ў ванную	devo andare in bagno	трябва да отида до банята	tengo que ir al baño	he d'anar al lavabo	muszę iść do łazienki	Tôi phải đi vào phòng tắm	Moram ići u kupaonicu	トイレに行かなきゃ	musím jít do koupelny	Jeg skal på toilettet	Eu tenho que ir ao banheiro	Я повинен піти у ванну	Mi devas iri al la necesejo	من برای رفتن به حمام	ma pean tualetti minema	Морам да идем у тоалет	minun täytyy mennä vessaan	jeg må på do	saya harus pergi ke kamar mandi	Teño que ir ao baño	나는 화장실 가야 돼	სააბაზანოში უნდა წავიდე	ki kell mennem a fürdőszobába	πρέπει να πάω στην τουαλέτα	trebuie să merg la baie	मुझे बाथरूम जाना है	banyoya gitmeliyim	Saya perlu pergi ke bilik air	musím ísť do kúpeľne	Ego autem vadam ad balneo	Man iet uz vannas istabu	Aš turiu nueiti į tualetą	Морам да одам во тоалет	moram na stranisce	مجھے باتھ روم جانا ہے	ฉันต้องไปเข้าห้องน้ำ	நான் குளியலறைக்கு செல்ல வேண்டும்	rhaid i mi fynd i'r ystafell ymolchi	ek moet badkamer toe gaan	Unë kam për të shkuar në banjo	আমাকে বাথরুম যেতে হবে	Kailangan kong pumunta sa banyo	నేను స్నానాలగదికి వెళ్ళాలి	Mwen gen pou yo ale nan twalèt la	Nina kwenda bafuni	Caithfidh mé dul go dtí an seomra folctha	Ég verð að fara á klósettið	હું બાથરૂમમાં જવું પડે	ನಾನು ಬಾತ್ರೂಮ್ ಹೋಗಲು ಹೊಂದಿವೆ	איך האָבן צו גיין צו די קלאָזעט
are you sure?	är du säker?	هل أنت واثق؟	bist du sicher?	Sən əminsən?	êtes-vous sûr?	ziur zaude?	Weet je het zeker?	вы уверены?	вы ўпэўнены?	sei sicuro?	сигурен ли си?	¿Estás seguro?	estàs segur?	Jesteś pewny?	bạn có chắc không?	Jesi li siguran?	本気ですか？	jsi si jistá?	er du sikker?	você tem certeza?	ти впевнений?	Ĉu vi certas?	مطمئنی؟	oled sa kindel?	да ли сте сигурни?	Oletko varma?	er du sikker?	apakah Anda yakin?	Estás seguro?	확실합니까?	დარწმუნებული ხარ?	biztos vagy ebben?	είσαι σίγουρος?	Esti sigur?	क्या आपको यकीन है?	Emin misiniz?	Adakah anda pasti?	si si istý?	es certus?	vai tu esi pārliecināts?	ar tu tuo tikras?	Дали си сигурен?	ali si prepričan?	کیا تمہیں یقین ہے؟	คุณแน่ใจไหม?	நீ சொல்வது உறுதியா?	wyt ti'n siwr?	is jy seker?	A je i sigurt?	তুমি কি নিশ্চিত?	Sigurado ka ba?	మీరు చెప్పేది నిజమా?	Eske ou si?	una uhakika?	An bhfuil tú cinnte?	Ertu viss?	તમને ખાતરી છે?	ನೀವು ಖಚಿತವಾಗಿರುವಿರಾ?	ביסטו זיכער?
I'm not sure	jag är inte säker	لست متأكدا	ich bin mir nicht sicher	əmin deyiləm	je ne suis pas sûr	ez nago ziur	ik weet het niet zeker	я не уверен	я неўпэўнены	non ne sono sicuro	не съм сигурен	no estoy seguro	no estic segur	Nie jestem pewny	tôi không chắc	nisam siguran	よく分かりません	nejsem si jistý	jeg er ikke sikker	Não tenho certeza	я не впевнений	Mi ne certas	مطمئن نیستم	ma pole kindel	нисам сигуран	en ole varma	jeg er ikke sikker	Saya tidak yakin	Non estou seguro	잘 모르겠어요	დარწმუნებული არ ვარ	Nem vagyok benne biztos	δεν είμαι σίγουρος	nu sunt sigur	मुझे यकीन नहीं है	Emin değilim	saya tidak pasti	Nie som si istý	Im 'non certus	ES neesmu pārliecināts	aš nesu tikras	не сум сигурен	nisem prepričan	مجھے یقین نہیں ہے	ฉันไม่แน่ใจ	என்னால் உறுதியாக சொல்ல முடியாது	Dwi ddim yn siŵr	Ek is nie seker nie	nuk jam i sigurt	আমি নিশ্চিত নই	hindi ako sigurado	నేను ఖచ్చితంగా తెలియదు	Mwen pa si	sina uhakika	Níl mé cinnte	ég er ekki viss	મને ખાતરી નથી	ಖಚಿತವಾಗಿಲ್ಲ	איך בין נישט זיכער
don't worry about it	oroa dig inte om det	لا تقلق بشأن ذلك	keine Sorge darüber	bu barədə narahat olmayın	ne vous inquiétez pas à ce sujet	ez kezkatu	geen zorgen over te maken	не беспокойтесь об этом	не турбуйцеся пра гэта	non ti preoccupare	не се тревожи за това	¡No se preocupe	No es preocupi	nie martw się o nią	đừng lo lắng về điều đó	Ne brinite o tome	それについて心配しないでください	nebojte se o tom	ikke bekymre dig om det	Não se preocupe com isso	не турбуйтеся про це	ne maltrankviliĝu pri ĝi	در مورد آن نگران نباشید	ärge muretsege see	не брини о томе	älä välitä siitä	ikke bry deg om det	jangan khawatir tentang hal itu	Non se preocupe con iso	그것에 대해 걱정하지 마십시오	არ ინერვიულოთ შესახებ	ne aggódj ez	μην ανησυχείτε γι 'αυτό	nu vă faceți griji despre asta	इसके बारे में चिंता मत करो	dert etmeyin	jangan bimbang mengenainya	nebojte sa o tom	nolite in sublime tolli	nav jāuztraucas par to	Nesijaudinkite apie tai	не се грижи за тоа	ne skrbi	اس کے بارے میں فکر نہ کرو	ไม่ต้องเป็นห่วงนะ	அது பற்றி கவலைப்பட வேண்டாம்	peidiwch â phoeni am y peth	moenie bekommerd wees oor dit	mos u bëni merak për këtë	এটা সম্পর্কে চিন্তা করবেন না	huwag mag-alala tungkol sa mga ito	దాని గురించి ఆందోళన లేదు	pa enkyete sou li	usijali kuhusu hilo	ná bíodh imní ort faoi	ekki hafa áhyggjur óður í það	તે વિશે ચિંતા કરશો નહીં	ಅದರ ಬಗ್ಗೆ ಚಿಂತಿಸಬೇಡಿ	טאָן ניט זאָרג וועגן עס
Can you explain?	Kan du förklara?	هل يمكن ان توضح؟	Können Sie erklären?	İzah edə bilərsən?	Peux-tu expliquer?	Ezin duzu azaldu?	Kun je uitleggen?	Вы можете объяснить?	Ці можаце вы растлумачыць?	Puoi spiegare?	Можеш ли да обясниш?	¿Puedes explicar?	Pots explicar?	Możesz wytłumaczyć?	Bạn có thể giải thích?	Možeš li objasniti?	説明できる？	Můžeš vysvětlit?	Kan du forklare?	Você pode explicar?	Ти можеш пояснити?	Ĉu vi povas klarigi?	می توانید توضیح دهید؟	Kas oskate selgitada?	Можете ли објаснити?	Voitko selittää?	Kan du forklare?	Bisakah Anda menjelaskan?	Pode explicar?	당신은 설명 할 수 있습니까?	Შეგიძლია ამიხსნა?	Meg tudod magyarázni?	Μπορείς να εξηγήσεις?	Puteți explica?	क्या तुम समझा सकते हो?	Açıklayabilir misin?	Boleh awak jelaskan?	Môžeš vysvetliť?	Te potest explicare?	Vai tu vari paskaidrot?	Ar gali paaiškinti?	Може да се објасни?	Lahko pojasnite?	آپ اس بات کی وضاحت کر سکتا ہوں؟	คุณสามารถอธิบาย?	உன்னால் விளக்க முடியுமா?	Allwch chi egluro?	Kan jy verduidelik?	A mund të shpjegoni?	তুমি কি ব্যাখ্যা করতে পারো?	Maaari mo bang ipaliwanag?	మీరు వివరంచగలరా?	Èske ou ka eksplike?	Unaweza elezea?	An féidir leat a mhíniú?	Geturðu útskýrt?	તમે સમજાવી શકો?	ನೀನು ವಿವರಿಸಬಲ್ಲೆಯ?	קענען איר דערקלערן?
I don't know how to explain	Jag vet inte hur jag ska förklara	أنا لا أعرف كيف أشرح	Ich weiß nicht, wie zu erklären	Mən izah etmək üçün necə bilmirəm	Je ne sais pas comment expliquer	Ez dakit nola azaldu	Ik weet niet hoe uit te leggen	Я не знаю, как объяснить	Я не ведаю, як растлумачыць	Non so come spiegarlo	Аз не знам как да обясня	No sé cómo explicarlo	No sé com explicar-ho	Nie wiem, jak to wytłumaczyć	Tôi không biết làm thế nào để giải thích	Ne znam kako objasniti	私が説明する方法がわかりません	Nevím, jak to vysvětlit	Jeg ved ikke, hvordan jeg skal forklare	Eu não sei como explicar	Я не знаю, як пояснити	Mi ne scias kiel klarigi	من نمی دانم که چگونه به توضیح	Ma ei tea, kuidas seda seletada	Ја не знам како да објасним	En tiedä miten selittää	Jeg vet ikke hvordan jeg skal forklare	Saya tidak tahu bagaimana menjelaskan	Non sei como explicar	내가 설명하는 방법을 모른다	მე არ ვიცი როგორ აგიხსნათ	Nem tudom, hogyan magyarázzam	Δεν ξέρω πώς να εξηγήσω	Nu știu cum să explic	मैं नहीं जानता कि कैसे समझाने के लिए	Ben nasıl açıklayacağımı bilmiyorum	Saya tidak tahu bagaimana untuk menerangkan	Neviem, ako to vysvetliť	Nescio quid explicare	Es nezinu, kā izskaidrot	Aš nežinau, kaip paaiškinti	Јас не знам како да го објаснам	Ne vem, kako razložiti	میں نے وضاحت کے لئے کس طرح نہیں جانتے	ผมไม่ทราบวิธีที่จะอธิบาย	நான் விளக்க தெரியாது	Nid wyf yn gwybod sut i esbonio	Ek weet nie hoe om te verduidelik	Unë nuk e di se si për të shpjeguar	আমি জানি না কিভাবে ব্যাখ্যা করতে	Hindi ko alam kung paano ipaliwanag	నేను వివరించడానికి ఎలా తెలియదు	Mwen pa konnen ki jan yo eksplike	Sijui jinsi ya kuelezea	Níl a fhios agam conas a mhíniú	Ég veit ekki hvernig á að útskýra	મને ખબર નથી કે કેવી રીતે સમજાવવા માટે	ನಾನು ವಿವರಿಸಲು ಹೇಗೆ ಗೊತ್ತಿಲ್ಲ	איך טאָן ניט וויסן ווי צו דערקלערן
How can I explain	Hur kan jag förklara	كيف لي أن أشرح	Wie kann ich erklären	Necə izah edə bilər	Comment je peux expliquer	Nola azaldu dut	Hoe kan ik het uitleggen	Как я могу объяснить	Як я магу растлумачыць	Come posso spiegare	Как мога да обясня	Como puedo explicar	Com puc explicar	W jaki sposób można wyjaśnić	Làm thế nào tôi có thể giải thích	Kako mogu objasniti	どのように私が説明することができます	Jak lze vysvětlit	Hvordan kan jeg forklare	Como eu posso explicar	Як я можу пояснити	Kiel mi klarigos	چگونه می تواند توضیح دهد من	Kuidas ma saan seletada	Како могу да објасним	Miten voin selittää	Hvordan kan jeg forklare	Bagaimana saya bisa menjelaskan	Como podo explicar	어떻게 설명 할 수	როგორ შემიძლია ავუხსნა	Hogyan magyarázzam	Πώς μπορώ να εξηγήσω	Cum pot explica	मैं कैसे समझा सकता हूँ	Nasıl açıklayabilirim	Bagaimana saya boleh menjelaskan	Ako možno vysvetliť	Quo modo explicet	Kā es varu paskaidrot	Kaip aš galiu paaiškinti	Како да ти кажам	Kako lahko razložiti	میں کس طرح اس بات کی وضاحت کر سکتے ہیں	ฉันจะอธิบาย	எப்படி நான் விளக்க முடியும்	Sut y gallaf esbonio	Hoe kan ek verduidelik	Si mund ta shpjegoj	আমি কিভাবে ব্যাখ্যা করতে পারেন	Paano ko ipaliwanag	నేను వివరిస్తుంది	Kouman mwen ka eksplike	Jinsi gani naweza kueleza	Conas is féidir liom a mhíniú	Hvernig get ég útskýrt	હું કેવી રીતે સમજાવે છે	ನಾನು ಹೇಗೆ ವಿವರಿಸುತ್ತದೆ	ווי קענען איך דערקלערן
Good explanation	bra förklaring	تفسير جيد	Gute Erklärung	yaxşı şərh	Bonne explication	azalpen Good	Goede uitleg	Хорошее объяснение	добрае тлумачэнне	buona spiegazione	Добро обяснение	Buena explicación	bona explicació	Dobre wytłumaczenie	Lời giải thích hay	dobro objašnjenje	良い説明	dobré vysvětlení	God forklaring	Boa explicação	гарне пояснення	bona klarigo	توضیح خوب	hea selgitus	добро објашњење	hyvä selitys	god forklaring	penjelasan yang baik	boa explicación	좋은 설명	კარგი ახსნა	jó magyarázat	καλή εξήγηση	Bună explicație	अच्छे खर्च	İyi açıklama	penjelasan yang baik	dobré vysvetlenie	bonum explicandum	Labs skaidrojums	geras paaiškinimas	добро објаснување	dobra razlaga	اچھی وضاحت	คำอธิบายที่ดี	நல்ல விளக்கம்	esboniad da	goeie verduideliking	shpjegimi i mirë	গুড ব্যাখ্যা	magandang paliwanag	మంచి వివరణ	Bon eksplikasyon	maelezo mazuri	míniú Dea	góð skýring	ગુડ સમજૂતી	ಗುಡ್ ವಿವರಣೆಯನ್ನು	גוט דערקלערונג
for example	till exempel	فمثلا	beispielsweise	misal üçün	par exemple	adibidez	bijvoorbeeld	например	напрыклад	per esempio	например	por ejemplo	per exemple	na przykład	ví dụ	na primjer	例えば	například	for eksempel	por exemplo	наприклад	ekzemple	مثلا	näiteks	на пример	esimerkiksi	for eksempel	sebagai contoh	por exemplo	예를 들면	მაგალითად	például	για παράδειγμα	de exemplu	उदाहरण के लिए	Örneğin	sebagai contoh	napríklad	exempli gratia	piemēram	pavyzdžiui	на пример	na primer	مثال کے طور پر	ตัวอย่างเช่น	உதாரணத்திற்கு	er enghraifft	byvoorbeeld	për shembull	উদাহরণ স্বরূপ	Halimbawa	ఉదాహరణకి	pa egzanp	kwa mfano	mar shampla	til dæmis	દાખ્લા તરીકે	ಉದಾಹರಣೆಗೆ	לעמאָשל
It is a kind of ...	Det är en typ av ...	بل هو نوع من ...	Es ist eine Art von ...	Bu bir növ ...	Il est une sorte de ...	moduko bat da ...	Het is een soort van ...	Это своего рода ...	Гэта свайго роду ...	Si tratta di una sorta di ...	Това е един вид ...	Es una especie de ...	És una mena de ...	Jest to rodzaj ...	Nó là một loại ...	To je neka vrsta ...	それは一種のです...	Je to druh ...	Det er en slags ...	É uma espécie de ...	Це свого роду ...	Ĝi estas speco de ...	این نوع از است ...	See on omamoodi ...	То је нека врста ...	Se on eräänlainen ...	Det er en slags ...	Ini adalah semacam ...	É unha especie de ...	그것은의 일종이다 ...	ეს არის სახის ...	Ez egy olyan ...	Είναι ένα είδος ...	Este un fel de ...	यह एक तरह का है ...	Bu bir tür ...	Ia adalah sejenis ...	Je to druh ...	Est quaedam ...	Tā ir sava veida ...	Tai natūra ...	Тоа е еден вид на ...	To je neke vrste ...	اس کی ایک قسم ہے ...	มันเป็นชนิดของ ...	அது ஒரு வகை ...	Mae'n fath o ...	Dit is 'n soort van ...	Kjo është një lloj i ...	এটা তোলে এক ধরনের ...	Ito ay isang uri ng ...	ఇది ఒక రకమైన ఉంది ...	Li se yon kalite ...	Ni aina gani ya ...	Is ar chineál an ...	Það er eins konar ...	તે એક પ્રકારનું છે ...	ಇದು ಒಂದು ರೀತಿಯ ...	עס איז אַ מין פון ...
